year,maize_area,rice_area,soybeans_area,wheat_area,maize_prod,rice_prod,soybeans_prod,wheat_prod,area,prod,yield_trend_sum,yield_trend,yield_shock,cpi,W_spot_cont,W_spot_price,W_fut_cont,W_fut_price,S_spot_cont,S_spot_price,S_fut_cont,S_fut_price,RR_spot_cont,RR_spot_price,RR_fut_cont,RR_fut_price,C_spot_cont,C_spot_price,C_fut_cont,C_fut_price,kappa_maize,kappa_rice,kappa_soybeans,kappa_wheat,fut_price,ln_q,ln_p,ln_w,trendsp1,trendsp2,trendsp3
1959,,,,,,,,,,,,,,29.41,01dec1959,196.66667,01dec1960,191.41499,01nov1959,221.43077,01nov1960,207.07143,,,,,01dec1959,109.34,01dec1960,109.89,3.3408117,2.8377166,4.5104489,2.9867055,172.8006,,,,1959,0,0
1960,,,,,,,,,,,,,,29.809999,01dec1960,205.05,01dec1961,198.59523,01nov1960,215.33076,01nov1961,215.52142,,,,,01dec1960,103.9,01dec1961,116.305,3.3408117,2.8377166,4.5104489,2.9867055,180.27339,,1.7708036,,1960,0,0
1961,105559708,115365135,23818820,204209450,205027583,215646633,26883158,222357231,448.953108549118,2082.273252487183,2173.751957893372,4.8418241,.95791668,30.01,01dec1961,204.68462,01dec1962,217.40953,01nov1961,241.7,01nov1962,235.595,,,,,01dec1961,107.16923,01dec1962,115.00455,3.3408117,2.8377166,4.5104489,2.9867055,193.41138,7.6412153,1.7996306,-.042994481,1961,0,0
1962,103496674,119452419,23822275,207554518,204876937,226456297,27120148,250319146,454.3258856534958,2197.0276927948,2237.614954948425,4.9251318,.98186135,30.379999,01dec1962,207.875,01dec1963,196.84091,01nov1962,242.59232,01nov1963,238.66316,,,,,01dec1962,109.775,01dec1963,112.47727,3.3408117,2.8377166,4.5104489,2.9867055,188.24097,7.6948605,1.8632888,-.018305169,1962,0,0
1963,108427548,120151882,24398949,206130240,220228333,247119211,28207071,233339473,459.1086211204529,2261.138512611389,2329.528697967529,5.0740252,.97064203,30.879999,01dec1963,216.33571,01dec1964,181.00455,01nov1963,282.61539,01nov1964,255.70526,,,,,01dec1963,117.62857,01dec1964,118.77273,3.3408117,2.8377166,4.5104489,2.9867055,192.90982,7.7236238,1.8239384,-.029797539,1963,0,0
1964,107925200,125056100,25681026,216539177,215172627,262928956,29079547,268791657,475.2015020847321,2398.932410240173,2434.698335647583,5.123507,.9853099,31.25,01dec1964,149.91333,01dec1965,150.24738,01nov1964,274.33334,01nov1965,254.13182,,,,,01dec1964,122.41333,01dec1965,119.275,3.3408117,2.8377166,4.5104489,2.9867055,183.93382,7.7827792,1.8321141,-.01479907,1964,.00041649313,0
1965,106676579,124828874,25819966,216979762,226544256,254059664,31704923,263645963,474.3051844835281,2408.227325439453,2482.317698478699,5.2335877,.97015274,31.85,01dec1965,164.92857,01dec1966,167.77142,01nov1965,250.97144,01nov1966,257.45999,,,,,01dec1965,122.12143,01dec1966,123.2,3.3408117,2.8377166,4.5104489,2.9867055,191.35805,7.7866464,1.7725567,-.030301761,1965,.003331945,0
1966,111241045,125680517,26534256,215766959,245599160,261181258,36412918,303785460,479.222775220871,2633.215261459351,2576.450964927673,5.3763118,1.022032,32.919998,01dec1966,176.96429,01dec1967,176.105,01nov1966,296.14615,01nov1967,284.27142,,,,,01dec1966,142.67143,01dec1967,133.25,3.3408117,2.8377166,4.5104489,2.9867055,207.91066,7.8759608,1.7931088,.021792825,1966,.011245314,0
1967,112457754,127537654,28112290,219749378,272548473,277386363,37933319,294295876,487.8570736646652,2747.748407363892,2705.280599594116,5.5452318,1.0156981,34,01dec1967,145.47693,01dec1968,159.36818,01nov1967,263.77142,01nov1968,270.285,,,,,01dec1967,115.23077,01dec1968,125.81364,3.3408117,2.8377166,4.5104489,2.9867055,195.18535,7.9185371,1.8430282,.015576135,1967,.02665556,0
1968,111677838,129264992,28874372,224875053,255670551,288624308,41420481,326843941,494.6922549009323,2836.192714691162,2774.579038619995,5.6086969,1.0222065,35.599998,01dec1968,128.47858,01dec1969,141.92613,01nov1968,255.27501,01nov1969,241.51973,,,,,01dec1968,113.90714,01dec1969,117.14318,3.3408117,2.8377166,4.5104489,2.9867055,175.73476,7.9502177,1.7475891,.02196357,1968,.05206164,0
1969,111338080,131137551,28897038,217750101,269506068,295584391,41967347,308640283,489.1227711439133,2850.263013839722,2812.011051177979,5.7490907,1.0136031,37.700001,01dec1969,144.08928,01dec1970,145.86,01nov1969,244.63542,01nov1970,243.24001,,,,,01dec1969,117.65179,01dec1970,118.84715,3.3408117,2.8377166,4.5104489,2.9867055,178.06001,7.9551663,1.5966302,.0135114,1969,.089962512,0
1970,113076179,132873227,29525510,207979029,265831145,316345703,43696887,310740954,483.4539452791214,2910.975522041321,2864.449031829834,5.9249678,1.0162427,39.799999,01dec1970,168.31801,01dec1971,166.08501,01nov1970,304.50082,01nov1971,280.90408,,,,,01dec1970,149.49333,01dec1971,154.71727,3.3408117,2.8377166,4.5104489,2.9867055,210.36528,7.9762435,1.5524606,.01611224,1970,.14285715,0
1971,118195157,134513986,30033769,213924167,313622622,317712426,45618769,347525581,496.6670807600021,3193.049689292908,3049.035249710083,6.1389918,1.0472327,41.099998,01dec1971,173.18785,01dec1972,151.13843,01nov1971,310.83215,01nov1972,308.26666,,,,,01dec1971,117.80643,01dec1972,126.00429,3.3408117,2.8377166,4.5104489,2.9867055,208.78305,8.0687313,1.6649785,.046151206,1971,.21324448,0
1972,114947847,132197995,31724286,213762072,308826290,307289937,47257207,343001429,492.6322069168091,3141.327697753906,3082.587129592896,6.2573805,1.0190556,42.5,01dec1972,259.64386,01dec1973,236.75523,01nov1972,365.04694,01nov1973,350.11841,,,,,01dec1972,155.03769,01dec1973,144.05692,3.3408117,2.8377166,4.5104489,2.9867055,255.35939,8.0524006,1.6252877,.018876322,1972,.3036235,0
1973,116943608,136572628,37391240,219374913,318290469,334928838,59267889,369334126,510.2823859453201,3384.198705673218,3277.817667007446,6.4235368,1.0324548,46.299999,01dec1973,534.5,01dec1974,482.70456,01nov1973,550.53571,01nov1974,598.80261,,,,,01dec1973,263.20834,01dec1974,252.14473,3.3408117,2.8377166,4.5104489,2.9867055,459.95096,8.1268721,1.7931678,.031939313,1973,.41649312,0
1974,119862457,136887929,37390118,222117967,306427347,331970614,52639832,358825442,516.2584737539291,3274.889827728272,3424.237377166748,6.6327963,.95638514,51.900002,01dec1974,468.07144,01dec1975,454.33334,01nov1974,800,01nov1975,706.35712,,,,,01dec1974,357.64285,01dec1975,302.59525,3.3408117,2.8377166,4.5104489,2.9867055,512.44501,8.0940399,2.2959778,-.044594586,1974,.55435234,0
1975,121483621,141729334,38764952,226617018,341751971,356963090,64248541,355806146,528.5949298143387,3507.166965484619,3584.281673431397,6.7807717,.97848529,55.599998,01dec1975,335.35715,01dec1976,374.5119,01nov1975,482.4375,01nov1976,503.36905,,,,,01dec1975,261.5,01dec1976,264.70239,3.3408117,2.8377166,4.5104489,2.9867055,394.28967,8.1625643,2.2898746,-.02174953,1975,.7197001,0
1976,124209113,141860234,37167564,234418092,352395866,347686462,57399226,419868031,537.6549912691116,3676.842290878296,3735.655824661255,6.9480538,.98425615,58.400002,01dec1976,261.33929,01dec1977,295.33334,01nov1976,658.51923,01nov1977,625.32141,,,,,01dec1976,243.01785,01dec1977,257.07144,3.3408117,2.8377166,4.5104489,2.9867055,420.87061,8.2098093,1.9589027,-.015869103,1976,.91503543,0
1977,125249315,143663829,42056753,228577847,371593355,369481153,73854802,382276677,539.5477378368378,3764.772382736206,3836.265407562256,7.1101503,.98136389,62.299999,01dec1977,258.42856,01dec1978,291.63095,01nov1977,590.875,01nov1978,591.63098,,,,,01dec1977,217.39285,01dec1978,225.05952,3.3408117,2.8377166,4.5104489,2.9867055,395.96161,8.2334423,1.9750096,-.018811949,1977,1.1428572,0
1978,124729622,143503652,46392180,229635073,393600091,385208745,75449966,443844880,544.2605355978012,4074.004247665405,3957.020610809326,7.270453,1.0295635,67.900002,01dec1978,362.90384,01dec1979,339.1875,01nov1978,670.75,01nov1979,665.22498,,,,,01dec1978,221.96153,01dec1979,252.77499,3.3408117,2.8377166,4.5104489,2.9867055,448.23816,8.3123817,1.8493558,.02913497,1978,1.4056643,0
1979,123679562,141118095,50708188,228381779,418622993,375251758,88698341,422999301,543.8876267671585,4126.842388153076,4064.495988845825,7.4730434,1.0153393,76.900002,01dec1979,425,01dec1980,484.03946,01nov1979,657.76788,01nov1980,742.8421,,,,,01dec1979,270.16666,01dec1980,312.77631,3.3408117,2.8377166,4.5104489,2.9867055,538.95367,8.3252678,1.8872887,.015222798,1979,1.7059559,.000017857143
1980,125776355,144412384,50646946,237251982,396623388,396871310,81040368,440187901,558.0876610279083,4131.492475509644,4241.400518417358,7.5998821,.97408688,86.400002,01dec1980,470.78571,01dec1981,519.45239,01nov1980,899.06818,01nov1981,821.28571,,,,,01dec1980,367.10715,01dec1981,362.34525,3.3408117,2.8377166,4.5104489,2.9867055,596.63831,8.3263941,1.9471238,-.026254779,1980,2.0462308,.0010247293
1981,127895030,145047250,50475793,239165634,446772517,410075231,88525040,449633986,562.5837086439133,4398.472089767456,4373.482738494873,7.7739234,1.0057138,94.099998,01dec1981,392.64999,01dec1982,439,01nov1981,643.59613,01nov1982,672.89771,,,,,01dec1981,255.31667,01dec1982,294.04544,3.3408117,2.8377166,4.5104489,2.9867055,491.65912,8.3890123,1.9323233,.0056975586,1981,2.428988,.0054051951
1982,124390774,141574291,52384044,238480249,448932280,421949049,92121684,476768609,556.8293520212174,4536.647571563721,4424.461692810059,7.9458127,1.0253558,97.699997,01dec1982,319.375,01dec1983,371.96429,01nov1982,560.55768,01nov1983,589.89288,,,,,01dec1982,233.89285,01dec1983,269.57144,3.3408117,2.8377166,4.5104489,2.9867055,431.0972,8.4199438,1.6534276,.02503969,1982,2.8567264,.015658215
1983,117848186,142830035,49049878,230291623,347082034,448016295,79467061,489555281,540.0197250843048,4251.468597412109,4277.439317703247,7.9208946,.99392843,101.4,01dec1983,342.92856,01dec1984,361.33334,01nov1983,830.53571,01nov1984,690.44049,,,,,01dec1983,331.42856,01dec1984,290.7619,3.3408117,2.8377166,4.5104489,2.9867055,476.54456,8.3550196,1.4844321,-.0060900743,1983,3.3319449,.034282744
1984,127763956,144242554,52939196,230771567,450449992,465342898,90752915,512330225,555.7172739505768,4764.895847320557,4620.753911972046,8.3149366,1.0311944,105.5,01dec1984,346.94232,01dec1985,347.21249,01nov1984,618.28571,01nov1985,622.1875,,,,,01dec1984,257.96155,01dec1985,274.79999,3.3408117,2.8377166,4.5104489,2.9867055,439.32794,8.4690313,1.5474881,.030717788,1984,3.8571429,.063777745
1985,130512431,143739872,53063617,229999646,485527301,468164572,101156845,499527392,557.3155623674393,4898.7776927948,4736.596302032471,8.4989481,1.0342401,109.5,01dec1985,343.375,01dec1986,302.0238,01nov1985,512.48077,01nov1986,529.53571,,,,,01dec1985,246.03572,01dec1986,228.2619,3.3408117,2.8377166,4.5104489,2.9867055,373.97052,8.4967413,1.4265352,.03366698,1985,4.4348187,.10664218
1986,131803709,144470742,51896341,227751914,478176622,468675242,94446350,528685222,555.922701716423,4932.488134384155,4779.88201713562,8.5981054,1.0319268,110.8,01dec1986,281.61667,01dec1987,252.29546,01nov1986,499.66666,01nov1987,493.52274,01nov1986,4.2491665,01nov1987,4.0566669,01dec1986,159.45,01dec1987,183.78409,3.3408117,2.8377166,4.5104489,2.9867055,331.5686,8.5035992,1.2282524,.031427685,1986,5.067472,.16537499
1987,129972051,141324376,52541951,220554829,453115794,461439908,100102463,505075847,544.3932005167007,4783.230100631714,4739.782402038574,8.706542,1.0091666,115.6,01dec1987,307.26666,01dec1988,311.44318,01nov1987,547.5769,01nov1988,588.10229,01nov1987,9.1738462,01nov1988,8.784091,01dec1987,185.03334,01dec1988,196.21591,3.3408117,2.8377166,4.5104489,2.9867055,391.06183,8.4728718,1.096108,.0091248397,1987,5.7576008,.2424752
1988,130010309,146402560,54861083,218377348,403050234,487457902,93521958,500656538,549.6512979269028,4646.922044754028,4852.3971824646,8.8281374,.95765489,120.7,01dec1988,426.14285,01dec1989,400.5,01nov1988,769.14288,01nov1989,707.10712,01nov1988,7.0149999,01nov1989,7.1923809,01dec1988,262.25,01dec1989,264.0238,3.3408117,2.8377166,4.5104489,2.9867055,486.03214,8.4439602,1.2187297,-.043267801,1988,6.5077052,.34044167
1989,131782910,148932817,58647478,226787295,476874503,514421640,107254261,538206114,566.1504944562912,5144.158828735352,5125.174472808838,9.0526714,1.0037042,126.3,01dec1989,410.63461,01dec1990,374.26251,01nov1989,572.30359,01nov1990,614.71252,01nov1989,7.0435715,01nov1990,7.7795,01dec1989,234.63461,01dec1990,244.1875,3.3408117,2.8377166,4.5104489,2.9867055,434.23514,8.5456171,1.3929666,.0036973467,1989,7.3202834,.46177343
1990,131037921,146960085,57209429,230752487,483620724,518568653,108456443,591330111,565.9599173069,5342.552913665772,5236.729558944702,9.2528276,1.0202079,134.2,01dec1990,250.76923,01dec1991,292.66251,01nov1990,572.71429,01nov1991,619.76251,01nov1990,7.1128573,01nov1991,7.6666665,01dec1990,226.13461,01dec1991,251.325,3.3408117,2.8377166,4.5104489,2.9867055,416.04977,8.5834589,1.2349261,.020006413,1990,8.197834,.60896939
1991,133761963,146741288,54986366,224592779,494476130,518706882,103322537,547917894,560.0823965072632,5226.395362854004,5309.217844009399,9.479351,.98440027,138.2,01dec1991,391.51785,01dec1992,349.75,01nov1991,558.48077,01nov1992,582.71429,01nov1991,8.7419233,01nov1992,7.98,01dec1991,243.35715,01dec1992,255.91667,3.3408117,2.8377166,4.5104489,2.9867055,417.77881,8.5614767,1.1314737,-.015722685,1991,9.1428576,.78452855
1992,136787699,147390606,56170032,222795634,533599651,528523001,114467679,565290485,563.1439723968506,5487.111234664917,5436.018672943115,9.6529818,1.0093989,142.3,01dec1992,370.95001,01dec1993,335.25,01nov1992,554.96155,01nov1993,590.45453,01nov1992,6.3857694,,,01dec1992,211.21666,01dec1993,241.68182,3.3408117,2.8377166,4.5104489,2.9867055,412.6163,8.610157,1.1062503,.0093550421,1992,10.157851,.99094987
1993,131361902,146493953,59495278,222426858,476783168,531598632,115146195,564729459,559.7779953479767,5307.41074180603,5401.218952178955,9.648859,.98263204,146.3,01dec1993,364.75,01dec1994,345.7619,01nov1993,654.80359,01nov1994,640.44049,01nov1993,11.548928,01nov1994,9.2880955,01dec1993,286.57144,01dec1994,265.53571,3.3408117,2.8377166,4.5104489,2.9867055,443.66885,8.5768595,1.0645806,-.017520551,1993,11.245315,1.2307322
1994,137991914,147290242,62494921,214663501,569024179,538865819,136447143,525368449,562.4405722618103,5614.709842681885,5598.14571762085,9.953311,1.0029589,150.10001,01dec1994,376.78571,01dec1995,359.92856,01nov1994,554.83929,01nov1995,595.7619,01nov1994,6.5878572,01nov1995,7.1136842,01dec1994,217.05357,01dec1995,248.41667,3.3408117,2.8377166,4.5104489,2.9867055,423.70197,8.6331453,1.1094191,.0029545249,1994,12.407746,1.5063747
1995,135801202,149596599,62507249,216577718,517293134,547433543,126949295,544566647,564.4827611446381,5480.698762893677,5665.252534866333,10.036183,.96742356,153.89999,01dec1995,509.94232,01dec1996,437.03751,01nov1995,679.01788,01nov1996,692.08752,01nov1995,9.0414286,01nov1996,9.1099997,01dec1995,336.73077,01dec1996,289.23749,3.3408117,2.8377166,4.5104489,2.9867055,497.6225,8.6089878,1.0377285,-.033118866,1995,13.647647,1.8203762
1996,139610302,150290905,61090854,224612501,589483114,568910479,130202571,578630198,575.6045558452606,5899.228872299194,5914.642217636108,10.275531,.99739403,159.10001,01dec1996,396.28571,01dec1997,353.67856,01nov1996,686.36536,01nov1997,662.10712,01nov1996,10.255384,01nov1997,9.9799995,01dec1996,267.89285,01dec1997,261.42856,3.3408117,2.8377166,4.5104489,2.9867055,453.6015,8.6825771,1.1735388,-.0026093761,1996,14.967513,2.1752355
1997,141125400,151114144,66935211,227668618,585521419,576991967,144356732,614385582,586.843368768692,6079.559038162231,6106.05997467041,10.404922,.99565989,161.8,01dec1997,336.45001,01dec1998,373.64774,01nov1997,727.20831,01nov1998,674.43182,01nov1997,10.665,01nov1998,10.134737,01dec1997,265.48334,01dec1998,284.32956,3.3408117,2.8377166,4.5104489,2.9867055,471.293,8.7126875,1.0476861,-.0043495577,1997,16.369488,2.5732083
1998,138809711,151693107,70979954,220421323,615783168,579196929,160135008,596011470,581.9040896892548,6203.203857421875,6174.592712402344,10.611014,1.0046337,164.39999,01dec1998,266.45001,01dec1999,322.22726,01nov1998,567.36536,01nov1999,584.56818,01nov1998,8.836154,01nov1999,8.6427269,01dec1998,214.53334,01dec1999,246.73863,3.3408117,2.8377166,4.5104489,2.9867055,408.13657,8.7328215,1.069119,.0046229628,1998,17.851284,3.0135374
1999,137225922,156799008,72046177,212586030,607190213,610968375,157776693,584739386,578.6571396589279,6220.351358413696,6219.31001663208,10.747832,1.0001675,168.8,01dec1999,229.98215,01dec2001,327.7619,01nov1999,464.94644,01nov2000,488.84525,01nov1999,5.3400002,01nov2000,6.7269998,01dec1999,189,01dec2000,231.11905,3.3408117,2.8377166,4.5104489,2.9867055,365.00992,8.7355814,.90929937,.00016747502,1999,19.407637,3.4934347
2000,137006957,154061245,74366591,215187971,592467102,598897245,161297356,585023306,580.6227564811707,6153.637529373169,6297.159378051758,10.845527,.9772085,174.60001,01dec2000,257.125,01dec2001,317.27499,01nov2000,470.375,01nov2001,523.875,01nov2000,6.2264285,01nov2001,6.3866668,01dec2000,208.35001,01dec2001,254.35001,3.3408117,2.8377166,4.5104489,2.9867055,383.85928,8.7247982,.77120996,-.023055246,2000,21.033215,4.0100737
2001,137529793,151969468,76798663,214193392,615534635,599445854,178242605,590552229,580.4913148880005,6325.202545166016,6333.133003234863,10.909953,.99874777,177.39999,01dec2001,275.82501,01dec2002,300.05264,01nov2001,438.67499,01nov2002,450.6579,01nov2001,3.6489286,01nov2002,4.896842,01dec2001,208.52499,01dec2002,239.05263,3.3408117,2.8377166,4.5104489,2.9867055,343.92691,8.7522974,.78777838,-.0012530187,2001,22.722696,4.5606284
2002,137606756,147646155,78959358,214610109,603480524,571057116,181677688,577772548,578.8223786354065,6181.697525024414,6389.969528198242,11.039603,.96740639,181.8,01dec2002,350.64999,01dec2003,322.77499,01nov2002,572,01nov2003,509.28751,01nov2002,3.9003847,01nov2003,5.1475,01dec2002,235.875,01dec2003,240.175,3.3408117,2.8377166,4.5104489,2.9867055,374.9346,8.7293482,.66202211,-.03313661,2002,24.470757,5.1422725
2003,144699406,148533347,83638032,207971692,645096761,586828469,190650567,557816064,584.8424801826477,6346.351652145386,6526.444110870361,11.15932,.97240573,185.5,01dec2003,392.04999,01dec2004,380.42044,01nov2003,766.04999,01nov2004,615.44318,01nov2003,7.8279166,01nov2004,7.7313638,01dec2003,248.77499,01dec2004,247.95454,3.3408117,2.8377166,4.5104489,2.9867055,437.3974,8.7556353,.72384441,-.027982142,2003,26.27207,5.7521791
2004,147439376,150580057,91600538,216191135,728898458,607572232,205522972,630711408,605.8111004829407,6969.980457305908,6845.757720947266,11.300153,1.0181459,191.7,01dec2004,287.35001,01dec2005,333.17392,01nov2004,516.42499,01nov2005,563.2262,01nov2004,6.9535713,01nov2005,7.1871428,01dec2004,194.77499,01dec2005,237.06522,3.3408117,2.8377166,4.5104489,2.9867055,399.28946,8.8493681,.85778731,.017983247,2004,28.121309,6.3875232
2005,148084723,155035313,92565225,220666905,713663039,634272793,214559073,630154296,616.3521625995636,7033.943395614624,7041.655822753906,11.424728,.99890476,198.10001,01dec2005,301.20001,01dec2006,362.0238,01nov2005,580.45001,01nov2006,616.32141,01nov2005,7.3942857,01nov2006,8.63381,01dec2005,191.22501,01dec2006,244.17857,3.3408117,2.8377166,4.5104489,2.9867055,431.52924,8.8585024,.73375499,-.0010958356,2005,30.013151,7.0454774
2006,146765148,155630956,95315424,210624173,706847404,640812874,221966307,600390310,608.3356986045837,6974.246171951294,7033.603342056274,11.562043,.99156094,203.10001,01dec2006,480.85001,01dec2007,500.33749,01nov2006,652.375,01nov2007,717.1875,01nov2006,9.8457146,01nov2007,10.2945,01dec2006,359.64999,01dec2007,361.21249,3.3408117,2.8377166,4.5104489,2.9867055,547.69879,8.8499794,.77856326,-.0084748743,2006,31.94227,7.7232151
2007,158395406,155093950,90195693,216467151,790324082,656705320,219795265,611050301,620.1522026062012,7320.270160675049,7372.924461364746,11.888895,.99285841,211.44501,01dec2007,897.82501,01dec2008,802.58752,01nov2007,1026.55,01nov2008,1069.5875,01nov2007,12.379,01nov2008,13.4455,01dec2007,403.07501,01dec2008,451.77499,3.3408117,2.8377166,4.5104489,2.9867055,805.56696,8.8984022,.99202698,-.0071672131,2007,33.903339,8.4179115
2008,162689320,160063580,96490810,223775905,830623791,687464237,231296138,690885509,643.0196169614792,7832.50745010376,7640.324108123779,11.881946,1.0251539,211.39799,01dec2008,488.14999,01dec2009,609.5,01nov2008,908.20001,01nov2009,894.94318,01nov2008,14.885909,01nov2009,13.513864,01dec2008,325.97501,01dec2009,414.54544,3.3408117,2.8377166,4.5104489,2.9867055,668.1983,8.9660378,1.3375814,.024842724,2008,35.891037,9.1267385
2009,158615853,157977278,99379797,225639583,820237795,686246489,223315826,685703230,641.612520813942,7742.881336212158,7716.72462272644,12.02708,1.0033896,217.347,01dec2009,532.625,01dec2010,603.51135,01nov2009,977.04999,01nov2010,1016.8295,01nov2009,14.862727,01nov2010,14.322045,01dec2009,381.52499,01dec2010,434.70456,3.3408117,2.8377166,4.5104489,2.9867055,723.48761,8.9545288,1.1508424,.0033838651,2009,37.900036,9.8468714
2010,163936263,161564488,102845912,215950878,851300904,701228287,264959402,641909115,644.2975476980209,7946.202478408814,7913.442125320435,12.282279,1.0041398,220.472,01dec2010,732.40002,01dec2011,833.48865,01nov2010,1270.125,01nov2011,1233.7273,01nov2010,14.398,01nov2011,14.730909,01dec2010,558.22498,01dec2011,539.90912,3.3408117,2.8377166,4.5104489,2.9867055,909.5603,8.9804497,1.2025883,.0041312356,2010,39.925011,10.575483
2011,171272149,162713257,103861187,220415913,886921987,721604272,261624261,697498975,658.262504696846,8274.014701843262,8184.167392730713,12.432984,1.0109782,227.22301,01dec2011,590.02502,01dec2012,684.09521,01nov2011,1187.675,01nov2012,1162.4166,01nov2011,15.648,01nov2012,14.808095,01dec2011,585.84998,01dec2012,560.63098,3.3408117,2.8377166,4.5104489,2.9867055,845.10083,9.020875,1.4171906,.010918398,2011,41.960632,11.309745
2012,178571700,162264345,105477218,219136102,873151716,733012887,241732261,672738865,665.4493675231934,8096.712163925171,8433.721870422363,12.673724,.96004021,231.22099,01dec2012,823.95001,01dec2013,854.5625,01nov2012,1483.725,01nov2013,1313.6375,01nov2012,14.7535,01nov2013,15.562,01dec2012,733.22498,01dec2013,621.16248,3.3408117,2.8377166,4.5104489,2.9867055,973.67053,8.9992132,1.313524,-.040780108,2012,44.001583,12.046835
2013,185599969,164262590,111161196,218063005,1014274723,739119660,277679429,710957971,679.0867614746094,8861.793895721436,8732.316104888916,12.858911,1.0148274,234.72301,01dec2013,636.54999,01dec2014,657.57141,01nov2013,1290.125,01nov2014,1159.9166,01nov2013,15.6035,01nov2014,14.215953,01dec2013,424.67499,01dec2014,458.4881,3.3408117,2.8377166,4.5104489,2.9867055,805.26538,9.0895042,1.4376991,.01471852,2013,46.043419,12.784396
2014,184800970,162716863,117549053,220417745,1037791520,741477712,306519257,729012171,685.4846279621124,9131.053882598877,8889.430728912354,12.968097,1.0271809,236.28999,01dec2014,605.84998,01dec2015,632.5,01nov2014,1034.425,01nov2015,1011.2273,01nov2014,11.866,01nov2015,12.082369,01dec2014,379.875,01dec2015,427.11365,3.3408117,2.8377166,4.5104489,2.9867055,726.80487,9.1194363,1.2327658,.026818069,2014,48.085255,13.521957
2015,,,,,,,,,,,,,,237.84599,01dec2015,471.875,01dec2016,516.60229,01nov2015,871.20001,01nov2016,896.51135,01nov2015,11.946,01nov2016,11.929318,01dec2015,371.97501,01dec2016,393.55682,3.3408117,2.8377166,4.5104489,2.9867055,636.78064,,1.1235982,,2015,50.12709,14.259519
2016,,,,,,,,,,,,,,242.821,01dec2016,390.57501,01dec2017,463.10715,01nov2016,983.375,01nov2017,1009.5595,01nov2016,9.5,01nov2017,10.295,01dec2016,348.17499,01dec2017,383.39285,3.3408117,2.8377166,4.5104489,2.9867055,665.95288,,.98480183,,2016,52.16893,14.99708
